Time_Sec,diff_PT,diff_AST,diff_RB,diff_ORB,diff_DRB,diff_ST,diff_BLK,diff_TO,diff_PF,diff_Tech,diff_PTA,Home_Leading
2694,10,6,10,5,5,1,1,3,-3,0,6,1
2696,10,6,10,5,5,1,1,3,-4,0,6,1
2696,11,6,10,5,5,1,1,3,-4,0,7,1
2696,12,6,10,5,5,1,1,3,-4,0,8,1
2703,12,6,10,5,5,1,2,3,-4,0,6,1
2707,12,6,9,4,5,1,2,3,-4,0,6,1
2708,12,6,9,4,5,1,3,3,-4,0,4,1
2708,12,6,8,3,5,1,3,3,-4,0,4,1
2708,12,6,8,3,5,1,3,3,-4,0,4,1
2710,12,6,8,3,5,1,3,3,-4,0,1,1
2713,12,6,9,3,6,1,3,3,-4,0,1,1
2724,12,6,9,3,6,1,3,4,-4,0,1,1
2731,12,6,9,3,6,1,3,4,-4,0,-2,1
2736,12,6,10,3,7,1,3,4,-4,0,-2,1
2752,14,7,10,3,7,1,3,4,-4,0,0,1
2752,14,7,10,3,7,1,3,4,-5,0,0,1
2752,14,7,10,3,7,1,3,4,-5,0,0,1
2752,15,7,10,3,7,1,3,4,-5,0,1,1
2762,15,7,10,3,7,1,3,4,-5,0,-2,1
2764,15,7,11,3,8,1,3,4,-5,0,-2,1
2775,18,8,11,3,8,1,3,4,-5,0,1,1
2784,18,8,11,3,8,1,3,4,-5,0,-2,1
2787,18,8,12,3,9,1,3,4,-5,0,-2,1
2802,18,8,12,3,9,1,3,4,-5,0,0,1
2805,18,8,11,3,8,1,3,4,-5,0,0,1
2807,18,8,11,3,8,1,4,4,-5,0,-2,1
2808,18,8,10,2,8,1,4,4,-5,0,-2,1
2808,18,8,10,2,8,1,5,4,-5,0,-4,1
2808,18,8,9,1,8,1,5,4,-5,0,-4,1
2813,16,8,9,1,8,1,5,4,-5,0,-6,1
2835,16,8,9,1,8,0,5,5,-5,0,-6,1
2842,16,8,9,1,8,0,5,5,-5,0,-9,1
2846,16,8,10,1,9,0,5,5,-5,0,-9,1
2868,16,8,10,1,9,0,5,6,-5,0,-9,1
2880,16,8,10,1,9,0,5,6,-5,0,-9,1
